HS2,HS2 Description,Rank,Country of Origin,BaselineShare,BaselineSharePct,Old Tariff,Old TariffPct
94,Furniture and bedding,8,Cambodia,0.022523726613265904,2.25237266132659,0.11734548072986192,11.734548072986192
94,Furniture and bedding,9,India,0.022430027852658577,2.243002785265858,0.1895894591684058,18.95894591684058
94,Furniture and bedding,10,Taiwan,0.0223241876072461,2.23241876072461,0.13731876937268583,13.731876937268584
95,"Toys, sporting goods, and miscellaneous manufactured articles",1,China,0.7352453169964944,73.52453169964944,0.2329493409569042,23.29493409569042
95,"Toys, sporting goods, and miscellaneous manufactured articles",2,Vietnam,0.10845555856841392,10.845555856841392,0.1356143521339108,13.561435213391078
95,"Toys, sporting goods, and miscellaneous manufactured articles",3,Mexico,0.04283373966039205,4.283373966039205,0.01435071669790855,1.435071669790855
95,"Toys, sporting goods, and miscellaneous manufactured articles",4,Taiwan,0.03898014202264095,3.8980142022640947,0.13100635664438195,13.100635664438196
95,"Toys, sporting goods, and miscellaneous manufactured articles",5,Japan,0.016717013489923462,1.6717013489923462,0.09617475922901793,9.617475922901793
95,"Toys, sporting goods, and miscellaneous manufactured articles",6,Indonesia,0.014694514438895327,1.4694514438895327,0.11348496745433792,11.348496745433792
95,"Toys, sporting goods, and miscellaneous manufactured articles",7,Thailand,0.012789075363030648,1.2789075363030649,0.12344153696630544,12.344153696630544
95,"Toys, sporting goods, and miscellaneous manufactured articles",8,Canada,0.010520399690474642,1.0520399690474642,0.013260104613788952,1.3260104613788952
95,"Toys, sporting goods, and miscellaneous manufactured articles",9,Malaysia,0.01030315194759944,1.030315194759944,0.11370040877327253,11.370040877327254
95,"Toys, sporting goods, and miscellaneous manufactured articles",10,Cambodia,0.009461087822135141,0.9461087822135141,0.12623928019059497,12.623928019059496
96,"Toys, sporting goods, and miscellaneous manufactured articles",1,China,0.5887206205638595,58.87206205638596,0.2954064569171127,29.54064569171127
96,"Toys, sporting goods, and miscellaneous manufactured articles",2,Canada,0.12531120226549253,12.531120226549252,0.0014835936882333484,0.14835936882333484
96,"Toys, sporting goods, and miscellaneous manufactured articles",3,Mexico,0.11978974276589671,11.978974276589671,0.015784482931736375,1.5784482931736374
96,"Toys, sporting goods, and miscellaneous manufactured articles",4,Japan,0.04163963701701511,4.163963701701511,0.10902010694661263,10.902010694661262
96,"Toys, sporting goods, and miscellaneous manufactured articles",5,Germany,0.027111337671460206,2.7111337671460207,0.09864215858220068,9.864215858220069
96,"Toys, sporting goods, and miscellaneous manufactured articles",6,Vietnam,0.02519289287418914,2.519289287418914,0.15367569223673766,15.367569223673765
96,"Toys, sporting goods, and miscellaneous manufactured articles",7,India,0.02387900258748874,2.387900258748874,0.17832754743391965,17.832754743391966
96,"Toys, sporting goods, and miscellaneous manufactured articles",8,France,0.021984188020642496,2.1984188020642494,0.10159791558889407,10.159791558889406
96,"Toys, sporting goods, and miscellaneous manufactured articles",9,"Korea, South",0.013327728947431559,1.3327728947431559,0.08998556511987606,8.998556511987605
96,"Toys, sporting goods, and miscellaneous manufactured articles",10,Italy,0.013043647286524107,1.3043647286524107,0.1007013500334208,10.070135003342081
